freq_code,freq_label,c_resid_code,c_resid_label,unit_code,unit_label,nace_r2_code,nace_r2_label,geo_code,geo_label,time_code,time_label,value
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-07,2017-07,37033.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-08,2017-08,34342.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-09,2017-09,31085.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-10,2017-10,23946.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-11,2017-11,37176.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-12,2017-12,46575.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-01,2018-01,29411.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-02,2018-02,40852.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-03,2018-03,45372.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-04,2018-04,30267.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-05,2018-05,23857.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-06,2018-06,27724.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-07,2018-07,35281.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-08,2018-08,38131.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-09,2018-09,37366.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-10,2018-10,24423.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-11,2018-11,40757.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2018-12,2018-12,47749.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-01,2019-01,30017.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-02,2019-02,40224.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-03,2019-03,48700.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-04,2019-04,34289.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-05,2019-05,26450.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-06,2019-06,36358.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-07,2019-07,38043.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-08,2019-08,44096.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-09,2019-09,36282.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-10,2019-10,29864.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-11,2019-11,49464.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2019-12,2019-12,53567.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-01,2020-01,37098.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-02,2020-02,59246.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-03,2020-03,15896.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-04,2020-04,213.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-05,2020-05,1770.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-06,2020-06,28163.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-07,2020-07,74496.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-08,2020-08,96232.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-09,2020-09,89481.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-10,2020-10,47390.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-11,2020-11,35739.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2020-12,2020-12,59672.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-01,2021-01,40564.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-02,2021-02,57489.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-03,2021-03,24870.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-04,2021-04,19259.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-05,2021-05,32178.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-06,2021-06,70185.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-07,2021-07,89068.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-08,2021-08,88082.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-09,2021-09,77953.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-10,2021-10,55010.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-11,2021-11,52869.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2021-12,2021-12,63101.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2022-01,2022-01,36367.0
