freq,unit,schedule,tra_cov,tra_meas,rep_airp\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL,PAS_CRD,ES_GCLP	504839 	668837 	830777 	823283 	810735 	800771 	890582 	712216 	494984 	510235 	575766 	582749 	530152 	667604 	826152 	833447 
M,PAS,TOT,INTL,PAS_CRD,ES_GCRR	447207 	510765 	522206 	500460 	492794 	510910 	576582 	506731 	439614 	449088 	497634 	513803 	450237 	519257 	534138 	498169 
M,PAS,TOT,INTL,PAS_CRD,ES_GCTS	896312 	1048935 	1193441 	1180064 	1189287 	1157893 	1274229 	1056336 	883305 	883463 	969203 	990916 	897388 	1064655 	1207435 	1188057 
M,PAS,TOT,INTL,PAS_CRD,ES_GCXO	3315 	2876 	3919 	4850 	4083 	3668 	5589 	2924 	3080 	3270 	3817 	4962 	4359 	4194 	7120 	6291 
M,PAS,TOT,INTL,PAS_CRD,ES_GEML	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 
M,PAS,TOT,INTL,PAS_CRD,ES_LEAL	1560963 	1568155 	1083096 	1018847 	891077 	998989 	1274524 	1510930 	1624640 	1689654 	1871849 	1857460 	1685444 	1682525 	1230358 	1140738 
M,PAS,TOT,INTL,PAS_CRD,ES_LEAM	50046 	36040 	6790 	4804 	3533 	5781 	5472 	32565 	44718 	53480 	63265 	64632 	54625 	36995 	9917 	10116 
M,PAS,TOT,INTL,PAS_CRD,ES_LEAS	44034 	39726 	28827 	33260 	28133 	26022 	31189 	42735 	42369 	43703 	48589 	48465 	44833 	42629 	28911 	31253 
M,PAS,TOT,INTL,PAS_CRD,ES_LEBB	298570 	276710 	194051 	193643 	131066 	149197 	212206 	281153 	312680 	316295 	333869 	343817 	319642 	301009 	225915 	227684 
M,PAS,TOT,INTL,PAS_CRD,ES_LEBL	3785151 	3715611 	2973565 	2959644 	2695545 	2751874 	3202466 	3722623 	3899939 	3996399 	4210709 	4374770 	4025938 	3971080 	3175980 	3230317 
M,PAS,TOT,INTL,PAS_CRD,ES_LECO	10748 	10975 	8836 	10788 	6388 	9184 	10299 	9995 	11175 	11147 	11204 	10828 	12073 	12806 	10617 	11653 
M,PAS,TOT,INTL,PAS_CRD,ES_LEGE	303890 	201309 	41171 	48374 	38147 	38470 	57101 	204830 	249803 	307498 	326584 	348545 	298228 	217936 	39778 	50715 
M,PAS,TOT,INTL,PAS_CRD,ES_LEGR	5615 	8192 	4072 	4641 	4212 	5087 	5915 	8095 	6858 	6241 	4062 	5072 	5884 	7486 	929 	2143 
M,PAS,TOT,INTL,PAS_CRD,ES_LEIB	812661 	539266 	34409 	22988 	16940 	18365 	36291 	360595 	692352 	836612 	963384 	1002274 	824600 	527248 	39496 	27307 
M,PAS,TOT,INTL,PAS_CRD,ES_LEJR	51986 	50571 	10487 	3711 	1723 	4443 	14159 	25973 	54463 	54261 	51213 	53973 	59602 	57717 	14372 	4229 
M,PAS,TOT,INTL,PAS_CRD,ES_LEMD	4343257 	4225534 	3901579 	4033028 	3852329 	3562193 	4084701 	4220029 	4301865 	4343876 	4627899 	4757102 	4514632 	4606712 	4206154 	4317701 
M,PAS,TOT,INTL,PAS_CRD,ES_LEMG	2109440 	2053746 	1320612 	1257682 	1096440 	1243448 	1570633 	2017877 	2175549 	2202290 	2386265 	2377905 	2190090 	2185447 	1446809 	1359049 
M,PAS,TOT,INTL,PAS_CRD,ES_LEMH	327802 	191211 	7568 	2587 	2752 	4343 	7452 	89899 	248185 	353449 	419017 	445286 	323977 	199402 	8776 	2299 
M,PAS,TOT,INTL,PAS_CRD,ES_LEMI	94444 	85814 	24687 	26515 	24090 	25120 	31256 	84704 	96374 	98291 	110323 	111530 	100688 	86467 	37545 	33637 
M,PAS,TOT,INTL,PAS_CRD,ES_LEPA	3255369 	2746656 	558302 	426237 	344209 	464334 	823312 	2235504 	3016627 	3377233 	3692438 	3787038 	3302718 	2751990 	560515 	445753 
M,PAS,TOT,INTL,PAS_CRD,ES_LEPP	389 	119 	1246 	773 	331 	110 	20 	1901 	313 	69 	340 	319 	1042 	5 	781 	754 
M,PAS,TOT,INTL,PAS_CRD,ES_LERS	178232 	126230 	3503 	16 	529 	7 	3520 	115757 	188718 	207364 	219095 	230356 	205971 	144569 	4716 	0 
M,PAS,TOT,INTL,PAS_CRD,ES_LESO	1624 	1372 	262 	308 	146 	13 	1053 	1204 	2843 	3004 	2950 	1756 	1736 	1507 	181 	232 
M,PAS,TOT,INTL,PAS_CRD,ES_LEST	81676 	69356 	26340 	31835 	22043 	23092 	30592 	59631 	62813 	61829 	75844 	79674 	59818 	54290 	22161 	33305 
M,PAS,TOT,INTL,PAS_CRD,ES_LEVC	778477 	750450 	489716 	573602 	511366 	550584 	707345 	780260 	786876 	806405 	848437 	895620 	810682 	830786 	647030 	675818 
M,PAS,TOT,INTL,PAS_CRD,ES_LEVD	2192 	6214 	925 	1949 	98 	244 	295 	2944 	4995 	1045 	567 	222 	2325 	5614 	1001 	1030 
M,PAS,TOT,INTL,PAS_CRD,ES_LEVT	8037 	8867 	6686 	8784 	8352 	5419 	7584 	13249 	11034 	7178 	8063 	8784 	7676 	8567 	5889 	8967 
M,PAS,TOT,INTL,PAS_CRD,ES_LEVX	3928 	4035 	3512 	3511 	3859 	3306 	3886 	4002 	5314 	4291 	4869 	4948 	5256 	4230 	3824 	5124 
M,PAS,TOT,INTL,PAS_CRD,ES_LEXJ	52340 	49361 	28240 	29702 	25924 	27207 	31177 	51222 	55978 	48657 	53487 	57119 	47384 	46187 	20429 	21006 
M,PAS,TOT,INTL,PAS_CRD,ES_LEZG	40757 	40247 	29172 	35790 	28434 	28976 	32772 	40679 	37952 	34492 	39101 	41878 	37351 	41436 	29665 	33602 
M,PAS,TOT,INTL,PAS_CRD,ES_LEZL	399205 	444789 	400463 	398208 	352983 	407454 	494912 	461691 	470651 	405760 	363087 	376811 	419791 	497580 	480712 	471442 
M,PAS,TOT,INTL,PAS_CRD,FI_EFHK	1305539 	1334974 	1093412 	1103761 	1016019 	991226 	1105339 	1235746 	1386092 	1487454 	1521336 	1466075 	1344210 	1381502 	1118282 	1174574 
M,PAS,TOT,INTL,PAS_CRD,FI_EFIV	2 	0 	4237 	38788 	11364 	14410 	9814 	174 	32 	19 	103 	136 	10 	10 	2002 	41395 
M,PAS,TOT,INTL,PAS_CRD,FI_EFJO	480 	1319 	160 	317 	12 	16 	15 	770 	314 	19 	29 	19 	190 	1153 	19 	0 
M,PAS,TOT,INTL,PAS_CRD,FI_EFJY	441 	1267 	31 	0 	0 	2 	0 	369 	224 	199 	8 	0 	489 	1474 	0 	3 
M,PAS,TOT,INTL,PAS_CRD,FI_EFKE	0 	1387 	0 	64 	0 	0 	0 	0 	600 	0 	0 	0 	0 	936 	0 	879 
M,PAS,TOT,INTL,PAS_CRD,FI_EFKI	376 	13 	4 	732 	401 	447 	210 	0 	308 	0 	0 	0 	320 	0 	0 	1021 
M,PAS,TOT,INTL,PAS_CRD,FI_EFKK	217 	1830 	191 	10 	0 	12 	10 	280 	603 	19 	9 	11 	211 	2067 	0 	56 
M,PAS,TOT,INTL,PAS_CRD,FI_EFKS	0 	364 	522 	28017 	14040 	15662 	6608 	0 	0 	0 	0 	0 	281 	0 	653 	31505 
M,PAS,TOT,INTL,PAS_CRD,FI_EFKT	438 	38 	7112 	91503 	49626 	52888 	38193 	2211 	93 	862 	1229 	1537 	894 	391 	10086 	99246 
