freq,unit,schedule,tra_cov,tra_meas,geo\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,NAT,PAS_CRD,BG	21659 	18530 	17892 	18452 	16411 	15152 	17008 	18262 	18392 	22562 	29975 	30907 	23067 	19347 	16917 	18084 
M,PAS,TOT,NAT,PAS_CRD,CH	39425 	41316 	34205 	41068 	38936 	34527 	40623 	39485 	37345 	42619 	54525 	49155 	39224 	42752 	38403 	46293 
M,PAS,TOT,NAT,PAS_CRD,CY	0 	91 	0 	0 	0 	0 	0 	18 	136 	106 	0 	0 	0 	0 	0 	: 
M,PAS,TOT,NAT,PAS_CRD,CZ	2073 	314 	156 	441 	107 	176 	1510 	1214 	1438 	4204 	1342 	5354 	4850 	2152 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,DE	1165422 	1132761 	1029177 	875723 	754194 	782194 	946980 	1020470 	1097863 	1063286 	1064252 	926412 	1166310 	1184392 	1067339 	912944 
M,PAS,TOT,NAT,PAS_CRD,DK	144911 	133897 	120572 	102220 	96052 	89578 	113588 	145764 	162541 	165811 	143765 	159263 	172618 	172352 	146271 	128330 
M,PAS,TOT,NAT,PAS_CRD,EE	4449 	4571 	4256 	4264 	3527 	3032 	3441 	3755 	4090 	4350 	5030 	4638 	3802 	3874 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL	1095423 	962209 	695924 	656018 	568101 	557772 	666135 	818196 	947937 	1126006 	1235755 	1264687 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,ES	4389125 	4148756 	3652354 	3782941 	3353158 	3333520 	3904766 	4058191 	4294165 	4469819 	4748147 	4734633 	4356644 	4208199 	3594244 	3636196 
M,PAS,TOT,NAT,PAS_CRD,EU27_2020	14043062 	13221132 	11124954 	11317155 	10014897 	9946850 	11694688 	12661641 	13441935 	14165806 	14694510 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,FI	142011 	145141 	181695 	226058 	191375 	194507 	213804 	140318 	115606 	108356 	90270 	111610 	136873 	146250 	176751 	239583 
M,PAS,TOT,NAT,PAS_CRD,FR	2172398 	2170686 	1821700 	2051254 	1835494 	1765929 	1958047 	2167451 	2162539 	2300315 	2328246 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,HR	43938 	42057 	33758 	34325 	28151 	27697 	33844 	38352 	41007 	49850 	55369 	56374 	50587 	45026 	37057 	: 
M,PAS,TOT,NAT,PAS_CRD,HU	0 	104 	0 	6 	0 	0 	0 	8 	3 	0 	8 	60 	4 	8 	3 	0 
M,PAS,TOT,NAT,PAS_CRD,IE	13972 	13176 	11542 	12339 	10210 	11155 	12601 	14981 	15208 	16692 	16690 	18304 	13609 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,IS	30099 	30550 	23949 	23546 	21891 	21182 	26340 	25617 	29620 	27987 	32053 	31556 	28613 	27144 	25127 	22684 
M,PAS,TOT,NAT,PAS_CRD,IT	3541768 	3216827 	2530578 	2588540 	2287330 	2256580 	2716744 	3057121 	3309487 	3534396 	3729902 	3628973 	3453073 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,LT	6 	0 	10 	2 	3 	83 	6 	0 	1 	4 	18 	24 	2 	61 	0 	20 
M,PAS,TOT,NAT,PAS_CRD,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,PAS,TOT,NAT,PAS_CRD,LV	0 	0 	0 	0 	0 	184 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,PAS,TOT,NAT,PAS_CRD,ME	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,MK	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,NL	138 	118 	8 	171 	23 	190 	14 	419 	392 	757 	768 	646 	181 	348 	428 	197 
M,PAS,TOT,NAT,PAS_CRD,NO	1431432 	1421939 	1283816 	1102953 	1099570 	1115232 	1347899 	1273103 	1313109 	1439445 	1179601 	1323867 	1459775 	1462220 	1289476 	: 
